,,,,,,,,,,,,,,,NSE,NSE,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,,,
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs.,Rs.,,,
,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-13,Apr-13,Apr-13,Apr-13,Apr-13,Apr-13,Apr-13,Jul-13,Jul-14,,,
Company Name,Net cash flow due to net changes in cash and cash equivalents,Depreciation (net of transfer from revaluation reserves),Amortisation,Current assets,Current liabilities,Short term bank borrowings,Corporate tax,Net cash flow due to net changes in cash and cash equivalents,Depreciation (net of transfer from revaluation reserves),Amortisation,Current assets,Current liabilities,Short term bank borrowings,Corporate tax,Adjusted Closing Price ,Adjusted Closing Price ,ACCRUALS,Returns,NET PROFIT
Oil & Natural Gas Corpn. Ltd.,56434.8,132496.6,,339440,195173.6,45000,108950,-69059.8,145510.7,,394847.8,176878.3,0,86300,290.7,395.35,277058.4,0.3599931201,0.2021832234
Reliance Industries Ltd.,124630,113940,,942260,442170,1190,51500,99490,94650,,1046360,495230,1270,52440,872.05,1006.45,171850,0.1541196032,
Bank Of Baroda,142344.7,2765.7,3659.8,713022.2,86944.4,1680,14439.8,212303.6,3006.4,3659.8,909963.6,128830.1,3354.2,3505.1,112.32,174.37,82502.5,0.5524394587,
Hindustan Petroleum Corpn. Ltd.,1473.6,17129.3,1.8,333150.4,230869.3,9920.6,3966.5,-792.5,19835.2,0,356062.1,228320,38032.7,2505.8,211.65,399.3,74213.7,0.8866052445,
Infosys Ltd.,43320,7940,0,275050,16120,,31470,7990,9560,850,307340,22110,,33550,742.41,841.91,74120,0.1340229792,
Bharat Heavy Electricals Ltd.,-29581.7,8000,,585979,335684.3,0,32770,10600.7,9533.9,,623928.9,292425.3,12860,30420,158.3,228.35,61070.4,0.4425142135,
Indian Oil Corpn. Ltd.,-9867.4,48677.9,890.2,969601.6,562471.9,244400.7,11479.7,1962.8,52009.9,,1028782.5,584480.7,220217.2,8476.5,204.9,331.25,50165.1,0.6166422645,
N T P C Ltd.,-397.7,27917,,365017.3,127829.5,29.6,29136.4,7258.7,33967.6,3.7,389928.8,139056.6,172.3,38396.9,130.7,145.05,49402.5,0.10979342,
